image_uid,caption_number,keyword,lemma
1445123245_c7b9db0e0c,0,black,black
1445123245_c7b9db0e0c,0,tan,tan
1445123245_c7b9db0e0c,0,dog,dog
1445123245_c7b9db0e0c,0,plays,play
1445123245_c7b9db0e0c,0,centipede,centipede
1456630952_dd4778a48f,1,boy,boy
1456630952_dd4778a48f,1,catch,catch
1456630952_dd4778a48f,1,frisbee,frisbee
1515025681_999199cb79,1,older,old
1515025681_999199cb79,1,man,man
1515025681_999199cb79,1,sunglasses,sunglass
1515025681_999199cb79,1,white,white
1616016569_673de1d678,2,man,man
1616016569_673de1d678,2,smile,smile
2186367337_0ce9ce2104,4,dog,dog
2186367337_0ce9ce2104,4,runs,run
2186367337_0ce9ce2104,4,yellow,yellow
2186367337_0ce9ce2104,4,pants,pant
2186367337_0ce9ce2104,4,walks,walk
2367139509_1ee4530b28,0,black,black
2367139509_1ee4530b28,0,brown,brown
2367139509_1ee4530b28,0,dog,dog
2367139509_1ee4530b28,0,running,run
241346709_23204cc2bc,3,football,football
241346709_23204cc2bc,3,player,player
241346709_23204cc2bc,3,runs,run
241346709_23204cc2bc,3,football,football
241346794_4319f8af67,0,football,football
241346794_4319f8af67,0,players,player
2543247940_083f1b7969,3,white,white
2543247940_083f1b7969,3,dog,dog
2543247940_083f1b7969,3,leash,leash
2543247940_083f1b7969,3,chew,chew
2543247940_083f1b7969,3,stick,stick
2571096893_694ce79768,1,young,young
2571096893_694ce79768,1,child,child
2571096893_694ce79768,1,runs,run
2571096893_694ce79768,1,leaves,leave
262570082_6364f58f33,0,black,black
262570082_6364f58f33,0,dog,dog
262570082_6364f58f33,0,stick,stick
262570082_6364f58f33,2,dog,dog
262570082_6364f58f33,2,black,black
262570082_6364f58f33,2,dog,dog
262570082_6364f58f33,2,stick,stick
2642350864_099c0f2152,1,little,little
2642350864_099c0f2152,1,girl,girl
2642350864_099c0f2152,1,riding,ride
2642350864_099c0f2152,1,shopping,shopping
2642350864_099c0f2152,1,cart,cart
280932151_ae14a67be5,3,dog,dog
280932151_ae14a67be5,3,runs,run
280932151_ae14a67be5,3,camera,camera
2909811789_ed8f3fd972,2,man,man
