image_uid,caption_number,keyword,lemma
1024138940_f1fefbdce1,2,sand,sand
1445123245_c7b9db0e0c,0,tan,tan
2491343114_a3e35a2a3a,1,sand,sand
2747640247_b54bfa6886,2,rope,rope
2747640247_b54bfa6886,2,swing,swing
280932151_ae14a67be5,3,camera,camera
3134385454_4f1d55333f,4,splash,splash
3462396164_ba9849c14b,4,crowd,crowd
3526431764_056d2c61dc,3,pictures,picture
3526431764_056d2c61dc,3,cameras,camera
3594029059_cee1f4c59a,3,ground,ground
514222303_cb98584536,3,rope,rope
529198549_5cd9fedf3f,1,boat,boat
1016887272_03199f49c4,3,climbers,climber
1105959054_9c3a738096,0,picture,picture
118187095_d422383c81,2,pushed,push
118187095_d422383c81,2,car,car
1296412797_85b6d2f8d6,0,swung,swing
140377584_12bdbdf2f8,3,climber,climber
1515883224_14e36a53c7,3,crowd,crowd
1787222774_d5c68cce53,3,car,car
186890605_ddff5b694e,4,rope,rope
186890605_ddff5b694e,4,swing,swing
2076906555_c20dc082db,0,camera,camera
2097420505_439f63c863,3,camera,camera
2120571547_05cd56de85,3,car,car
214543992_ce6c0d9f9b,1,thrown,throw
2157173498_2eea42ee38,4,snowboard,snowboard
2205088706_d7e633e00d,0,sand,sand
2205336881_d9ee4179d3,0,picture,picture
2205336881_d9ee4179d3,0,camera,camera
2387197355_237f6f41ee,4,dance,dance
2394267183_735d2dc868,1,obstacle,obstacle
2394267183_735d2dc868,1,course,course
2394267183_735d2dc868,2,obstacle,obstacle
2412390588_a89cab30f4,1,pointing,point
2414352262_005ae90407,4,sand,sand
2447289477_e888df561d,0,bench,bench
2447289477_e888df561d,4,bench,bench
2532262109_87429a2cae,2,pictures,picture
2568417021_afa68423e5,3,basketball,basketball
2578834476_118585730d,1,hill,hill
2596475173_58f11fc583,1,tan,tan
262642489_f5c6b9e65b,4,camera,camera
2642475077_69d19deb74,1,talking,talk
269986132_91b71e8aaa,4,game,game
2817230861_d27341dec0,4,sand,sand
2853811730_fbb8ab0878,0,guitar,guitar
2882743431_c3e6cd1b5c,3,bites,bite
2886533440_dfa832f2fa,4,sand,sand
2955985301_e4139bc772,3,hair,hair
2955985301_e4139bc772,3,camera,camera
2993388841_6746140656,3,basketball,basketball
3021780428_497542a072,3,pushes,push
3042679440_010b2c596c,1,city,city
3090593241_93a975fe2b,1,crowd,crowd
3119903318_d032141839,3,fire,fire
312427606_defa0dfaa8,4,hair,hair
312427606_defa0dfaa8,4,eating,eat
3125158798_0743dae56e,3,picture,picture
3139118874_599b30b116,3,picture,picture
3139393607_f0a54ca46d,0,snowboard,snowboard
3172369593_eb4d787ffb,4,pictures,picture
3176277818_235486a3cd,2,games,game
3210705660_2b14b7fb36,3,rope,rope
3221815947_76c95b50b7,1,horse,horse
3225296260_2ee72b4917,3,car,car
3258391809_38fc6211f7,3,camera,camera
3261493263_381a4c5cc7,3,sled,sled
3272071680_648a99f7d2,4,pointing,point
3291587911_81fc33300e,2,bitten,bite
3293018193_e4e0c8db7c,0,guitar,guitar
3304511635_113beaf458,0,dances,dance
3315353266_70f0bbb1c3,4,guitar,guitar
3320209694_db579cb607,0,purple,purple
3339319023_5dcc3ef81a,1,swing,swing
3339558806_b4afdc8394,0,swing,swing
3387661249_33e5ba0bc5,4,horse,horse
3397310901_cbef5c06ef,4,tricks,trick
3426724811_137855b4f7,1,suits,suit
3452982513_36f2bc81fa,2,snowboard,snowboard
3475111806_f0d2927707,1,picture,picture
3475111806_f0d2927707,1,crowd,crowd
3512033659_7e8a0c2ffa,3,crowded,crowd
3524519277_bd0c3e7382,0,talking,talk
3582914905_f58db879ae,2,rope,rope
3612249030_e2829ffa31,4,sand,sand
3621741935_54d243f25f,0,bench,bench
3621741935_54d243f25f,0,eat,eat
3645080830_1d9ee2f50a,1,trick,trick
3659769138_d907fd9647,0,flies,fly
3710176138_fbfe00bd35,2,splash,splash
3725177385_62d5e13634,3,cars,car
3733074526_82aa8d5f8d,4,dancing,dance
