flickr_audio_uid,keyword
girls_144_2858903676_6278f07ee3_3_000013-000060,girl
girl_037_2058472558_7dd5014abd_3_000034-000063,girl
light_021_1479513774_70c94cf9d3_0_000297-000322,light
people_051_1368383637_614646cc4a_2_000027-000062,people
people_017_2987576188_f82304f394_0_000053-000097,people
dogs_071_3672105509_53b13b2ed4_3_000023-000062,dog
players_049_3157622277_9f59b4f62f_2_000267-000316,player
ball_049_2848895544_6d06210e9d_1_000210-000231,ball
jumping_022_3278189732_f750cb26b7_0_000151-000200,jump
photographer_145_3091177347_58c85c1c3b_1_000012-000088,photographer
sculpture_077_3249014584_21dd9ddd9d_4_000080-000139,sculpture
hair_011_590445887_4d4fa43923_3_000103-000129,hair
balloon_072_3318564834_4ccea90497_2_000440-000457,balloon
cow_007_2613920405_e91e6ebd7a_3_000089-000125,cow
hands_043_3078229723_2aa52600de_3_000222-000263,hand
woman_006_3514184232_b336414040_4_000009-000044,woman
carries_132_2052202553_373dad145b_1_000041-000070,carry
rope_046_583087629_a09334e1fb_1_000067-000091,rope
running_050_1009434119_febe49276a_1_000165-000197,run
watching_045_3259992638_0612a40288_3_000077-000120,watch
man_024_427082246_5bf1c3676f_3_000007-000034,man
catches_037_2708744743_e231f7fcf9_0_000040-000074,catch
jumping_002_3415165462_e1cb536d08_0_000171-000217,jump
tires_005_1474474514_b3eb492722_4_000193-000275,tire
dog_117_774009278_8e75b7d498_2_000042-000074,dog
boy_004_2133650765_fc6e5f295e_4_000009-000036,boy
mouth_019_1827560917_c8d3c5627f_0_000281-000315,mouth
jumps_036_3619630328_2d0865b6f4_4_000119-000149,jump
people_058_3425573919_409d9e15b2_3_000037-000089,people
dog_028_2846843520_b0e6211478_3_000017-000054,dog
girl_002_3549464203_8ab9c6160b_4_000014-000049,girl
holding_039_3695949492_27ca3892fd_3_000258-000296,hold
unicycle_011_3705430840_e108de78bf_4_000367-000405,unicycle
dog_005_460781612_6815c74d37_4_000062-000114,dog
children_054_1417637704_572b4d6557_2_000086-000130,child
head_005_2477121456_1ac5c6d3e4_4_000119-000154,head
ball_014_2619454551_c4bb726a85_3_000175-000207,ball
fountain_043_3708172446_4034ddc5f6_2_000236-000287,fountain
toy_045_1206506157_c7956accd5_1_000306-000354,toy
wall_004_3172369593_eb4d787ffb_1_000187-000240,wall
room_005_3673878924_506c9d767b_1_000262-000300,room
standing_042_3119903318_d032141839_2_000189-000248,stand
players_051_2698614194_b4e6e11dff_4_000099-000160,player
runs_140_548751378_c657401312_2_000127-000159,run
watches_016_3243020805_2bafc36c45_3_000240-000299,watch
shirt_011_2744321686_8811d8428c_1_000092-000127,shirt
men_134_3297272270_285b8878b2_3_000000-000045,man
people_046_3172384527_b107385a20_3_000024-000054,people
kids_114_2257631407_1529b9db39_0_000108-000151,kid
field_005_2733659177_d74a00995b_0_000565-000642,field
group_004_3350785999_462f333c44_2_000015-000040,group
girl_033_3057770908_3fd97f79f9_3_000062-000120,girl
fountain_005_195962790_3380aea352_0_000383-000439,fountain
digging_049_3074617663_2f2634081d_4_000103-000133,dig
midair_043_3449846784_278bc1ba92_0_000221-000252,midair
dog_024_464527562_a18f095225_2_000070-000097,dog
game_069_2933643390_1c6086684b_3_000160-000187,game
dog_057_240583223_e26e17ee96_1_000019-000059,dog
colors_014_1105959054_9c3a738096_3_000256-000315,color
man_066_2433175169_da939372f2_3_000000-000023,man
snow_022_3130093622_362f32f2bb_0_000300-000351,snow
players_007_3373481779_511937e09d_2_000060-000103,player
dog_005_1176580356_9810d877bf_3_000000-000046,dog
dog_131_2587017287_888c811b5a_3_000102-000140,dog
sit_017_1807169176_7f5226bf5a_0_000100-000126,sit
girl_007_2414986483_004936f84b_4_000037-000068,girl
snow_019_3321063116_4e5deeac83_1_000147-000191,snow
robes_007_688210930_85c5675d5b_1_000084-000133,robe
jump_037_2460477085_088e25f857_1_000119-000141,jump
stick_131_173020287_230bfc4ffc_1_000099-000142,stick
curb_057_437404867_209625774d_1_000117-000157,curb
pushes_033_2680990587_eee6bd04fb_2_000055-000098,push
dress_043_640409060_6af18fdd54_2_000217-000269,dress
climbs_003_2633082074_32c85f532c_1_000059-000100,climb
karate_049_3256456935_664a7a5bba_2_000085-000123,karate
ball_003_391106734_d374bc3080_0_000322-000359,ball
apron_067_2744705147_acd767d3eb_2_000364-000415,apron
legs_003_391106734_d374bc3080_0_000217-000254,leg
sign_131_318667317_108c402140_0_000148-000210,sign
ball_017_1019604187_d087bf9a5f_1_000217-000255,ball
players_062_2844963839_ff09cdb81f_0_000158-000195,player
bird_066_3547600292_6f8aac7f2e_4_000083-000104,bird
singer_030_3082196097_2d15455b00_1_000021-000083,singer
dog_049_2808870080_4ea4f3327e_1_000045-000072,dog
play_033_534200447_b0f3ff02be_4_000065-000098,play
snow_025_386160015_d4b31df68e_1_000204-000226,snow
child_046_3717809376_f97611ab84_1_000028-000062,child
bread_089_1459032057_97e73ed6ab_4_000143-000172,bread
playing_158_3493000349_81c540e828_1_000105-000151,play
woman_022_1798209205_77dbf525b0_3_000021-000066,woman
children_033_3091921457_83eee69591_4_000053-000106,child
face_055_2540360421_f7c2401da8_0_000236-000264,face
child_025_2343879696_59a82f496f_0_000011-000081,child
mouth_046_2877637572_641cd29901_4_000253-000296,mouth
flowers_017_618292739_0fdc2ccab0_1_000434-000496,flower
street_007_236476706_175081ce18_2_000313-000350,street
women_114_3084034954_fe5737197d_4_000031-000060,woman
bridge_030_2916009941_34a0013803_3_000398-000462,bridge
man_025_2911245290_b2c79f328a_3_000012-000053,man
women_007_3389321512_b11f499dab_3_000023-000058,woman
gate_011_2072574835_febf0c5fb9_3_000193-000240,gate
woman_004_3323419265_7fefaa9d5d_0_000015-000050,woman
boy_117_2892467862_52a3c67418_1_000046-000053,boy
backpack_002_1434005938_ad75c8598c_0_000179-000249,backpack
man_049_374104006_7f32c8c5de_3_000010-000035,man
pushes_002_3021780428_497542a072_3_000106-000146,push
snow_069_3266306177_7994dc2865_0_000137-000173,snow
leg_130_391106734_d374bc3080_2_000161-000192,leg
children_004_3498240367_cbd8c6efbf_3_000024-000066,child
man_049_2587846523_b177c9a3e3_4_000010-000042,man
children_057_3608849440_e7d2bed29f_0_000057-000101,child
bench_006_2752175795_c9def67895_4_000263-000305,bench
huddle_091_3131107810_7e9b96cddc_3_000085-000114,huddle
corn_014_289599470_cc665e2dfb_2_000204-000258,corn
ball_025_3696246123_99d4d10140_4_000140-000174,ball
tattoo_046_2726301121_95a2fbd22b_4_000142-000189,tattoo
man_006_1732436777_950bcdc9b8_3_000008-000037,man
dog_079_3436074878_21515a6706_2_000122-000143,dog
play_006_2848895544_6d06210e9d_4_000146-000168,play
artist_081_3677514746_26f5588150_0_000057-000097,artist
people_059_3222749441_3bdfe088e3_0_000041-000074,people
jersey_061_2896668718_0c3cff910f_3_000390-000423,jersey
air_007_1800601130_1c0f248d12_1_000157-000174,air
apron_019_3417231408_6ce951c011_3_000114-000142,apron
girl_004_502671104_b2114246c7_0_000013-000049,girl
dress_046_3091594712_2166604334_2_000111-000147,dress
ice_005_2959941749_fa99097463_3_000140-000182,ice
cards_027_3227140905_1d7e30e4c4_1_000327-000373,card
men_095_495054019_3dee8a02f5_0_000290-000333,man
girl_003_3286222970_1fa445e38f_2_000000-000046,girl
people_004_3271061953_700b96520c_3_000132-000178,people
grass_100_3315250232_83e24a2d51_1_000177-000232,grass
playing_004_2930580341_d36eec8e3c_3_000044-000080,play
dock_007_944788251_a0bcd4b960_2_000191-000236,dock
man_007_2993049054_611f900644_4_000000-000036,man
pool_091_3459419203_cd7c68ce4d_4_000116-000131,pool
mall_021_3165936115_cb4017d94e_3_000254-000284,mall
dog_077_3116731299_6139b25c18_0_000032-000058,dog
girl_071_3707738261_777075e885_3_000056-000087,girl
ball_123_3368207495_1e2dbd6d3f_1_000215-000258,ball
wall_017_3578477508_b7d839da16_2_000180-000218,wall
plays_049_3305767464_d64a336f60_2_000146-000184,play
boy_019_3219065971_702c4e8c34_0_000008-000043,boy
