image_uid,caption_number,keyword,lemma
1456630952_dd4778a48f,1,boy,boy
1456630952_dd4778a48f,1,catch,catch
1456630952_dd4778a48f,1,frisbee,frisbee
1616016569_673de1d678,2,man,man
1616016569_673de1d678,2,smile,smile
2333584535_1eaf9baf3e,2,snow,snow
2333584535_1eaf9baf3e,2,dogs,dog
2333584535_1eaf9baf3e,2,snow,snow
2367139509_1ee4530b28,0,black,black
2367139509_1ee4530b28,0,brown,brown
2367139509_1ee4530b28,0,dog,dog
2367139509_1ee4530b28,0,running,run
246094557_e174a5914f,1,girl,girl
246094557_e174a5914f,1,white,white
246094557_e174a5914f,1,dog,dog
2491343114_a3e35a2a3a,1,dog,dog
2491343114_a3e35a2a3a,1,runs,run
2491343114_a3e35a2a3a,1,sand,sand
2534424894_ccd091fcb5,1,girl,girl
2534424894_ccd091fcb5,1,grass,grass
2540884723_03d60ef548,1,man,man
2540884723_03d60ef548,1,woman,woman
2540884723_03d60ef548,1,sit,sit
2571096893_694ce79768,1,young,young
2571096893_694ce79768,1,child,child
2571096893_694ce79768,1,runs,run
2747640247_b54bfa6886,2,girl,girl
2747640247_b54bfa6886,2,swinging,swinge
2747640247_b54bfa6886,2,waves,wave
2747640247_b54bfa6886,2,rope,rope
2747640247_b54bfa6886,2,swing,swing
280932151_ae14a67be5,3,dog,dog
280932151_ae14a67be5,3,runs,run
280932151_ae14a67be5,3,camera,camera
290982269_79fc9f36dc,2,woman,woman
290982269_79fc9f36dc,2,sits,sit
290982269_79fc9f36dc,2,wall,wall
2925737498_57585a7ed9,0,jacket,jacket
2925737498_57585a7ed9,0,smiling,smile
3246190363_68d903bfcb,0,black,black
3246190363_68d903bfcb,0,dog,dog
3246190363_68d903bfcb,0,water,water
3307978046_92fef4dfa9,0,group,group
3307978046_92fef4dfa9,0,park,park
3462396164_ba9849c14b,4,crowd,crowd
3523950181_414978964e,0,hockey,hockey
3523950181_414978964e,0,players,player
3523950181_414978964e,0,hockey,hockey
3526431764_056d2c61dc,3,people,people
3526431764_056d2c61dc,3,taking,take
3526431764_056d2c61dc,3,pictures,picture
3526431764_056d2c61dc,3,cameras,camera
3569284680_44fef444ef,1,boy,boy
3569284680_44fef444ef,1,red,red
3569284680_44fef444ef,1,girl,girl
3569284680_44fef444ef,1,stairs,stair
514222303_cb98584536,3,little,little
514222303_cb98584536,3,girl,girl
514222303_cb98584536,3,hat,hat
