mnist_id,tidigits_id
ca8b0b9e6d,1_ac_1o1a_b_000077-000118
16f8e5ece1,8_eg_218a_a_000077-000118
486b9211d2,2_pe_4o526a_a_000089-000103
682ab03030,9_pb_9a_a_000041-000093
e68b97b837,z_sp_zzz7a_c_000104-000146
e668858f6c,z_if_6z155a_a_000101-000143
1fa839a1d9,7_el_417a_a_000069-000118
ed142b22aa,5_kk_5981126a_a_000015-000054
44a495b6c8,z_hn_z99a_a_000020-000056
a02b054639,8_pb_8z7z852a_b_000202-000233
b41cc60cde,9_dl_96a_a_000017-000050
03dab944e4,o_hg_o3a_a_000052-000078
2daf0c103c,6_jp_836a_a_000075-000140
22ab23bd8c,7_mk_7z4z1a_a_000024-000079
3b90de4770,6_ng_64a_a_000047-000080
04fd29e44e,4_rn_48143a_b_000121-000154
3ecfb7a90d,2_ek_8221324a_c_000157-000183
3674c01732,6_kk_1629a_a_000049-000098
feb89507c2,z_if_zz87a_a_000021-000051
6fa9cb46c9,1_hn_218oa_a_000035-000068
c8de1a9a03,9_dc_95z3a_a_000039-000080
7c02763606,9_hs_87329a_a_000143-000189
af873c24d6,o_rp_7o6a_a_000075-000087
40ac5d4eff,5_an_6571a_a_000065-000101
8f354af71f,2_fd_1423a_a_000103-000127
a22b81e36d,z_ec_16z4359a_a_000101-000155
d8659e70b0,3_ng_63zz651a_a_000051-000072
a0bccd0385,3_ih_o32a_a_000061-000093
da76d696b5,3_nf_313a_a_000037-000063
4754577143,3_fi_639a_a_000063-000087
b2742db3a1,z_nf_z99a_a_000022-000055
3c264b1dc2,o_jr_9o4o3a_a_000050-000064
7b9b2bd778,7_la_673a_a_000056-000103
54a2c012c2,z_dl_za_a_000020-000072
e7b8d11032,9_es_198oa_a_000048-000086
fa900828f4,9_rp_76829a_a_000149-000200
f0a224bd36,9_ig_o8o29a_a_000130-000178
d97b00084f,1_cb_z1921a_a_000073-000108
f568d3a01b,1_ee_416a_a_000043-000071
b654787d57,2_kr_24162a_a_000035-000059
87acdf2aa4,1_ag_14a_a_000020-000044
756a2d8b7f,8_st_8b_a_000030-000064
ec95bd72c1,3_an_3a_a_000036-000083
f52db18bb4,o_ea_7154o49a_a_000148-000169
7884240d81,8_gt_o6ooo78a_a_000268-000309
776f5daa96,1_dl_1a_a_000021-000059
a565d6f6d7,6_gr_4696474a_b_000145-000177
03323bd5d6,6_hp_682zz95a_a_000055-000089
2032116433,9_ac_7932a_a_000075-000107
ccf8ca977e,3_ae_3a_a_000023-000060
60f88385fb,z_ek_z2zza_c_000111-000151
760470cbe8,o_cr_3oo43a_a_000080-000110
af49f77d71,8_es_53283o9a_a_000151-000180
d2385e3a78,5_nf_53286a_a_000036-000097
1096b5ea8b,2_cl_z2273a_b_000091-000123
68efb179f6,5_pe_53a_a_000019-000048
3df291ed95,4_jn_29o47a_a_000113-000141
d14642a43c,4_br_3o27469a_a_000271-000309
a06ae37dd2,o_ae_oa_a_000026-000065
325745a296,8_ee_34z3748a_a_000229-000274
0e14a385a1,3_jc_3a_a_000020-000068
f08d803409,5_pi_5b_a_000020-000065
d1405f3362,2_ff_819oo42a_a_000179-000208
5d0bdc3f85,4_ai_435a_a_000019-000046
344c6bd2d3,5_hl_5876751a_a_000037-000074
f278ab64cd,o_ei_o19a_a_000017-000048
a62d7459b4,2_aj_5299z32a_a_000046-000064
0bdff3d952,1_hg_35217a_a_000113-000146
8b3dd326f3,o_it_o9497a_a_000017-000032
5e4e4fd093,7_rf_417a_a_000084-000137
0a4a516030,1_br_56414a_a_000154-000189
4816cec522,o_sp_48o67o2a_a_000084-000126
ef11b05815,9_nh_143z923a_a_000176-000210
74e015ea19,9_jp_961o4a_a_000030-000064
0d78197ef2,7_kr_5o78a_a_000082-000131
3a411f80ca,5_fd_5b_a_000040-000090
aaa1814f50,o_mh_69o72ooa_b_000270-000298
556927d2da,3_ni_3771oa_a_000021-000060
044e6ed2f2,4_ag_o8448a_b_000088-000121
1ee2bd281c,z_nr_z13za_a_000020-000059
c0a1f9e400,3_it_383oa_b_000052-000083
9bf8a5460b,4_nf_9oo4954a_a_000118-000145
31f208e225,o_nw_2696oa_a_000170-000213
7b4c162ab4,9_cg_99724o6a_a_000019-000072
8ced1b7696,3_bd_9235326a_a_000069-000119
aee0872e6b,7_fl_82579a_a_000122-000162
e7c2ddce95,3_aw_2z3z5a_a_000096-000120
3827a5d79a,o_kp_oo6oa_a_000046-000082
393cfd560d,8_ek_8oa_a_000019-000048
d409b5fbfc,7_cf_42713a_a_000090-000125
6b4d894b8e,8_kt_877o8a_a_000018-000040
cb0de0561b,2_kh_1273a_a_000073-000100
41a9323cce,4_nw_o499a_a_000042-000085
afb1bf2684,7_pm_7a_a_000019-000070
c7bc21d044,5_an_5a_a_000033-000104
af408318c0,o_gt_27o39a_a_000093-000123
3af0101bd2,2_jj_832o743a_a_000080-000120
5afaf97cfa,6_hs_3967178a_a_000079-000124
784f3858c9,7_ek_4527a_a_000096-000148
9aed4701ca,o_bi_oa_a_000018-000056
90529fe518,z_dc_za_a_000039-000095
db6010a0cb,8_kr_845a_a_000019-000054
dcf41499af,o_cm_987oa_a_000124-000156
7e80c36c88,7_nr_3676a_a_000094-000133
6d57b1cdfc,o_hl_oo44a_b_000068-000103
5556b55536,7_pm_5z47a_a_000106-000155
57b913ba7d,7_fj_7b_a_000036-000086
0b2c8a4213,z_rf_zb_a_000020-000077
38525f846d,7_fc_7z891a_a_000018-000084
